Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1506401,Santa Cruz do Arari (PA),47.0,2185.0,1028.0,25802.0,21652.0,109150.0,560,5870.0,
MU,1506500,Santa Izabel do Pará (PA),31.0,2107.0,613.0,3928.0,3297.0,16618.0,449682,4713547.0,
MU,1506559,Santa Luzia do Pará (PA),,,,,,,...,,
MU,1506583,Santa Maria das Barreiras (PA),54.0,8221.0,1292.0,31841.0,26721.0,134700.0,25615,268495.0,
MU,1506609,Santa Maria do Pará (PA),17.0,1417.0,312.0,2591.0,2175.0,10962.0,20451,214366.0,
MU,1506708,Santana do Araguaia (PA),102.0,18962.0,1888.0,96906.0,81322.0,409949.0,61029,639703.0,
MU,1506807,Santarém (PA),198.0,9339.0,21666.0,25175.0,21126.0,106500.0,720000,7547008.0,
MU,1506906,Santarém Novo (PA),1.0,219.0,42.0,187.0,157.0,790.0,4800,50313.0,
MU,1507003,Santo Antônio do Tauá (PA),3.0,863.0,217.0,1064.0,893.0,4502.0,110057,1153613.0,
MU,1507102,São Caetano de Odivelas (PA),2.0,1014.0,152.0,960.0,806.0,4061.0,25350,265718.0,
MU,1507151,São Domingos do Araguaia (PA),,,,,,,...,,
MU,1507201,São Domingos do Capim (PA),41.0,11579.0,2943.0,18625.0,15630.0,78790.0,42120,441500.0,
MU,1507300,São Félix do Xingu (PA),7.0,4223.0,251.0,9622.0,8074.0,40704.0,8836,92619.0,
MU,1507409,São Francisco do Pará (PA),30.0,1559.0,1240.0,3326.0,2791.0,14070.0,22950,240561.0,
MU,1507458,São Geraldo do Araguaia (PA),105.0,27933.0,4181.0,70667.0,59302.0,298948.0,142208,1490618.0,
MU,1507466,São João da Ponta (PA),,,,,,,...,,
MU,1507474,São João de Pirabas (PA),1.0,287.0,42.0,251.0,211.0,1063.0,3300,34590.0,
MU,1507508,São João do Araguaia (PA),7.0,6081.0,645.0,12446.0,10444.0,52650.0,38400,402507.0,
MU,1507607,São Miguel do Guamá (PA),51.0,3675.0,1461.0,4099.0,3440.0,17340.0,39870,417916.0,
MU,1507706,São Sebastião da Boa Vista (PA),,8213.0,,,,,9555,100155.0,
MU,1507755,Sapucaia (PA),,,,,,,...,,
MU,1507805,Senador José Porfírio (PA),17.0,5473.0,453.0,10779.0,9046.0,45600.0,40000,419278.0,
MU,1507904,Soure (PA),394.0,1729.0,4515.0,48045.0,40319.0,203250.0,2980,31236.0,
MU,1507953,Tailândia (PA),7.0,4778.0,2479.0,8025.0,6735.0,33950.0,8200,85952.0,
MU,1507961,Terra Alta (PA),,,,,,,...,,
MU,1507979,Terra Santa (PA),,,,,,,...,,
MU,1508001,Tomé-Açu (PA),68.0,6715.0,6429.0,24017.0,20154.0,101600.0,23200,243181.0,
MU,1508035,Tracuateua (PA),,,,,,,...,,
MU,1508050,Trairão (PA),,,,,,,...,,
MU,1508084,Tucumã (PA),4.0,2863.0,131.0,5861.0,4918.0,24793.0,6128,64233.0,
MU,1508100,Tucuruí (PA),4.0,2696.0,645.0,12827.0,10764.0,54264.0,16836,176474.0,
MU,1508126,Ulianópolis (PA),,,,,,,...,,
MU,1508159,Uruará (PA),28.0,5430.0,3195.0,10051.0,8434.0,42518.0,50000,524098.0,
MU,1508209,Vigia (PA),3.0,550.0,,785.0,659.0,3322.0,15800,165615.0,
MU,1508308,Viseu (PA),80.0,6385.0,5240.0,18556.0,15572.0,78500.0,55000,576508.0,
MU,1508357,Vitória do Xingu (PA),,,,,,,...,,
MU,1508407,Xinguara (PA),145.0,41922.0,5254.0,101498.0,85175.0,429375.0,216475,2269081.0,
MU,1600055,Serra do Navio (AP),,,,,,,...,,
MU,1600105,Amapá (AP),26.0,977.0,,12693.0,10652.0,53696.0,-,,
MU,1600154,Pedra Branca do Amapari (AP),,,,,,,...,,
MU,1600204,Calçoene (AP),4.0,430.0,,2340.0,1963.0,9897.0,-,,
MU,1600212,Cutias (AP),,,,,,,...,,
MU,1600238,Ferreira Gomes (AP),11.0,1018.0,397.0,4082.0,3425.0,17268.0,-,,
MU,1600253,Itaubal (AP),,,,,,,...,,
MU,1600279,Laranjal do Jari (AP),1.0,1930.0,,1037.0,870.0,4385.0,-,,
MU,1600303,Macapá (AP),22.0,2921.0,676.0,10545.0,8849.0,44608.0,29395,308117.0,
MU,1600402,Mazagão (AP),1.0,1305.0,,1258.0,1056.0,5323.0,-,,
MU,1600501,Oiapoque (AP),1.0,282.0,,603.0,506.0,2550.0,-,,
MU,1600535,Porto Grande (AP),,,,,,,...,,
MU,1600550,Pracuúba (AP),,,,,,,...,,
MU,1600600,Santana (AP),3.0,608.0,116.0,1350.0,1133.0,5713.0,-,,
